         h    |   D_1 (h)    |  error (D_1) |   D_2 (h)    |  error (D_2)
--------------|--------------|--------------|--------------|--------------
10^-1.0  | 3.061512e+00 | 4.025453e-02 | 3.144276e+00 | 4.250965e-02
10^-1.5  | 3.097642e+00 | 4.124444e-03 | 3.105913e+00 | 4.146984e-03
10^-2.0  | 3.101353e+00 | 4.134562e-04 | 3.102180e+00 | 4.136816e-04
10^-2.5  | 3.101725e+00 | 4.135576e-05 | 3.101808e+00 | 4.135801e-05
10^-3.0  | 3.101762e+00 | 4.135678e-06 | 3.101771e+00 | 4.135700e-06
10^-3.5  | 3.101766e+00 | 4.135689e-07 | 3.101767e+00 | 4.135690e-07
10^-4.0  | 3.101766e+00 | 4.135367e-08 | 3.101766e+00 | 4.135689e-08
10^-4.5  | 3.101766e+00 | 4.134066e-09 | 3.101766e+00 | 4.135689e-09
10^-5.0  | 3.101766e+00 | 4.819189e-10 | 3.101766e+00 | 4.135687e-10
10^-5.5  | 3.101766e+00 | 2.089537e-10 | 3.101766e+00 | 4.136025e-11
10^-6.0  | 3.101766e+00 | 7.837357e-10 | 3.101766e+00 | 4.136691e-12
10^-6.5  | 3.101766e+00 | 4.898202e-10 | 3.101766e+00 | 4.152234e-13
10^-7.0  | 3.101766e+00 | 1.214666e-09 | 3.101766e+00 | 3.996803e-14
10^-7.5  | 3.101766e+00 | 1.804399e-08 | 3.101766e+00 | 6.217249e-15
10^-8.0  | 3.101766e+00 | 2.765113e-08 | 3.101766e+00 | 2.220446e-15
10^-8.5  | 3.101767e+00 | 2.768660e-07 | 3.101766e+00 | 2.220446e-15
10^-9.0  | 3.101766e+00 | 6.606871e-07 | 3.101766e+00 | 3.108624e-15
10^-9.5  | 3.101763e+00 | 3.304184e-06 | 3.101766e+00 | 1.776357e-15
10^-10.0 | 3.101766e+00 | 8.827317e-07 | 3.101766e+00 | 2.220446e-15
10^-10.5 | 3.101765e+00 | 1.197684e-06 | 3.101766e+00 | 2.220446e-15
10^-11.0 | 3.101852e+00 | 8.571466e-05 | 3.101766e+00 | 2.664535e-15
10^-11.5 | 3.101470e+00 | 2.961077e-04 | 3.101766e+00 | 1.776357e-15
10^-12.0 | 3.101519e+00 | 2.473522e-04 | 3.101766e+00 | 2.220446e-15
10^-12.5 | 3.100768e+00 | 9.982744e-04 | 3.101766e+00 | 3.108624e-15
10^-13.0 | 3.104184e+00 | 2.417183e-03 | 3.101766e+00 | 1.776357e-15
10^-13.5 | 3.089533e+00 | 1.223294e-02 | 3.101766e+00 | 3.996803e-15
10^-14.0 | 3.042011e+00 | 5.975531e-02 | 3.101766e+00 | 3.108624e-15
10^-14.5 | 3.089533e+00 | 1.223294e-02 | 3.101766e+00 | 1.332268e-15
10^-15.0 | 2.442491e+00 | 6.592757e-01 | 3.101766e+00 | 2.664535e-15
10^-15.5 | 4.915167e+00 | 1.813400e+00 | 3.101766e+00 | 3.552714e-15
10^-16.0 | 8.881784e+00 | 5.780018e+00 | 3.101766e+00 | 1.776357e-15


--- Results for f_polluted(x) ---
         h    |   D_1 (h)    |  error (D_1) |   D_2 (h)    |  error (D_2)
--------------|--------------|--------------|--------------|--------------
10^-1.0  | 3.061512e+00 | 4.025453e-02 | 3.144276e+00 | 4.250965e-02
10^-1.5  | 3.097642e+00 | 4.124444e-03 | 3.105913e+00 | 4.146984e-03
10^-2.0  | 3.101353e+00 | 4.134562e-04 | 3.102180e+00 | 4.136816e-04
10^-2.5  | 3.101725e+00 | 4.135576e-05 | 3.101808e+00 | 4.135801e-05
10^-3.0  | 3.101762e+00 | 4.135678e-06 | 3.101771e+00 | 4.135700e-06
10^-3.5  | 3.101766e+00 | 4.135689e-07 | 3.101767e+00 | 4.135690e-07
10^-4.0  | 3.101766e+00 | 4.135367e-08 | 3.101766e+00 | 4.135689e-08
10^-4.5  | 3.101766e+00 | 4.134066e-09 | 3.101766e+00 | 4.135689e-09
10^-5.0  | 3.101766e+00 | 4.819189e-10 | 3.101766e+00 | 4.135687e-10
10^-5.5  | 3.101766e+00 | 2.089537e-10 | 3.101766e+00 | 4.136025e-11
10^-6.0  | 3.101766e+00 | 7.837357e-10 | 3.101766e+00 | 4.136247e-12
10^-6.5  | 3.101766e+00 | 4.898202e-10 | 3.101766e+00 | 4.161116e-13
10^-7.0  | 3.101766e+00 | 1.214666e-09 | 3.101766e+00 | 3.996803e-14
10^-7.5  | 3.101766e+00 | 1.804399e-08 | 3.101766e+00 | 6.217249e-15
10^-8.0  | 3.101766e+00 | 2.765113e-08 | 3.101766e+00 | 3.108624e-15
10^-8.5  | 3.101767e+00 | 2.768660e-07 | 3.101766e+00 | 2.220446e-15
10^-9.0  | 3.101766e+00 | 6.606871e-07 | 3.101766e+00 | 2.664535e-15
10^-9.5  | 3.101763e+00 | 3.304184e-06 | 3.101766e+00 | 1.776357e-15
10^-10.0 | 3.101766e+00 | 8.827317e-07 | 3.101766e+00 | 2.664535e-15
10^-10.5 | 3.101765e+00 | 1.197684e-06 | 3.101766e+00 | 2.664535e-15
10^-11.0 | 3.101852e+00 | 8.571466e-05 | 3.101766e+00 | 2.664535e-15
10^-11.5 | 3.101470e+00 | 2.961077e-04 | 3.101766e+00 | 2.220446e-15
10^-12.0 | 3.101519e+00 | 2.473522e-04 | 3.101766e+00 | 2.664535e-15
10^-12.5 | 3.100768e+00 | 9.982744e-04 | 3.101766e+00 | 3.996803e-15
10^-13.0 | 3.104184e+00 | 2.417183e-03 | 3.101766e+00 | 2.664535e-15
10^-13.5 | 3.089533e+00 | 1.223294e-02 | 3.101766e+00 | 3.996803e-15
10^-14.0 | 3.042011e+00 | 5.975531e-02 | 3.101766e+00 | 2.220446e-15
10^-14.5 | 3.089533e+00 | 1.223294e-02 | 3.101766e+00 | 1.332268e-15
10^-15.0 | 2.442491e+00 | 6.592757e-01 | 3.101766e+00 | 3.108624e-15
10^-15.5 | 4.915167e+00 | 1.813400e+00 | 3.101766e+00 | 3.552714e-15
10^-16.0 | 8.881784e+00 | 5.780018e+00 | 3.101766e+00 | 2.220446e-15
